senseid,phoneid,path,area,arrtibute,score
1,1,c:/Users/37151/Desktop/tkinter/sense1/1.jpg,"(2156, 1632, 3436, 2352)",,2.5
1,1,c:/Users/37151/Desktop/tkinter/sense1/1.jpg,"(2665, 1220, 2976, 1701)",,2.5
1,1,c:/Users/37151/Desktop/tkinter/sense1/1.jpg,"(3147, 1418, 3585, 1679)",,2.5
1,2,c:/Users/37151/Desktop/tkinter/sense1/2.jpg,"(2156, 1632, 3436, 2352)",,2.5
1,2,c:/Users/37151/Desktop/tkinter/sense1/2.jpg,"(2623, 1283, 2934, 1764)",,2.5
1,2,c:/Users/37151/Desktop/tkinter/sense1/2.jpg,"(3105, 1481, 3543, 1742)",,2.5
1,3,c:/Users/37151/Desktop/tkinter/sense1/3.jpg,"(2156, 1632, 3436, 2352)",,2.5
1,3,c:/Users/37151/Desktop/tkinter/sense1/3.jpg,"(2717, 1264, 3028, 1745)",,2.5
1,3,c:/Users/37151/Desktop/tkinter/sense1/3.jpg,"(3199, 1463, 3637, 1724)",,2.5
1,4,c:/Users/37151/Desktop/tkinter/sense1/4.jpg,"(2156, 1632, 3436, 2352)",,2.5
1,4,c:/Users/37151/Desktop/tkinter/sense1/4.jpg,"(2677, 1275, 2988, 1756)",,2.5
1,4,c:/Users/37151/Desktop/tkinter/sense1/4.jpg,"(3160, 1472, 3598, 1733)",,2.5
